Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8605442176870748,0.6153846153846154,0.3404255319148936,0.4383561643835616,0.8118701007838746
Random Forest,0.8469387755102041,0.6,0.1276595744680851,0.21052631578947367,0.8141528124730812
XGBoost,0.8571428571428571,0.6470588235294118,0.23404255319148937,0.34375,0.7594108019639936
